Instance Compilation-Time(sec) Peak-Memory(MB)
1 0.015232324600219727 0.2044076919555664
2 0.0124969482421875 0.11286449432373047
3 0.0078122615814208984 0.1000223159790039
4 0.015745162963867188 0.11243629455566406
5 0.015086889266967773 0.11955451965332031
6 0.010193586349487305 0.10666561126708984
7 0.015635251998901367 0.16022777557373047
8 0.020622730255126953 0.14026546478271484
9 0.023167848587036133 0.14948558807373047
10 0.014751434326171875 0.12476730346679688
11 0.012659311294555664 0.11584281921386719
12 0.009274959564208984 0.10449600219726562
13 0.016636371612548828 0.21021461486816406
14 0.015594720840454102 0.1283884048461914
15 0.017441272735595703 0.12130165100097656
16 0.009794950485229492 0.08004188537597656
17 0.020796537399291992 0.13495254516601562
18 0.014957427978515625 0.10620880126953125
19 0.016005992889404297 0.14400959014892578
20 0.007708311080932617 0.07036972045898438
21 0.012687921524047852 0.09261608123779297
22 0.0065271854400634766 0.0686655044555664
23 0.0182187557220459 0.12105178833007812
24 0.013468503952026367 0.12185478210449219
25 0.014814615249633789 0.10093307495117188
26 0.01916337013244629 0.13547897338867188
27 0.009549617767333984 0.10042095184326172
28 0.014584779739379883 0.10576820373535156
29 0.017140865325927734 0.13578224182128906
30 0.01485896110534668 0.37592029571533203
