Instance Compilation-Time(sec) Peak-Memory(MB)
1 0.02187180519104004 0.19618797302246094
2 0.013723611831665039 0.10433006286621094
3 0.025995969772338867 0.13174152374267578
4 0.010999679565429688 0.09799766540527344
5 0.020860671997070312 0.17362308502197266
6 0.012362957000732422 0.10467529296875
7 0.014239788055419922 0.10895442962646484
8 0.01620197296142578 0.1417236328125
9 0.02080082893371582 0.1896228790283203
10 0.01382136344909668 0.10206794738769531
11 0.013741254806518555 0.11320686340332031
12 0.015924930572509766 0.11763858795166016
13 0.0191347599029541 0.13663864135742188
14 0.027985095977783203 0.1978750228881836
15 0.022675037384033203 0.13852500915527344
16 0.022095441818237305 0.10004329681396484
17 0.022836685180664062 0.21234893798828125
18 0.015483617782592773 0.1266469955444336
19 0.011688947677612305 0.11042022705078125
20 0.019414186477661133 0.1464252471923828
